ko_number	fasta_header	locus_tag	tf_name	tf_description	family	subtype	type
K03710	lcl|FQ312003.1_prot_CBW19661.1_3571	SL1344_3567	K03710	GntR family transcriptional regulator	GntR family	Helix-turn-helix	Prokaryotic type
K03711	lcl|FQ312003.1_prot_CBW16774.1_674	SL1344_0675	fur, zur, furB	Fur family transcriptional regulator, ferric uptake regulator	Fur family	Helix-turn-helix	Prokaryotic type
K03712	lcl|FQ312003.1_prot_CBW17545.1_1449	SL1344_1450	marR	MarR family transcriptional regulator, multiple antibiotic resistance protein MarR	MarR family	Helix-turn-helix	Prokaryotic type
K03717	lcl|FQ312003.1_prot_CBW16142.1_41	SL1344_0041	nhaR	LysR family transcriptional regulator, transcriptional activator of nhaA	LysR family	Helix-turn-helix	Prokaryotic type
K03718	lcl|FQ312003.1_prot_CBW19934.1_3845	SL1344_3843	asnC	Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA	Lrp/AsnC family	Helix-turn-helix	Prokaryotic type
K03719	lcl|FQ312003.1_prot_CBW16993.1_894	SL1344_0897	lrp	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein	Lrp/AsnC family	Helix-turn-helix	Prokaryotic type
K03719	lcl|FQ312003.1_prot_CBW17034.1_935	SL1344_0938	lrp	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein	Lrp/AsnC family	Helix-turn-helix	Prokaryotic type
K03720	lcl|FQ312003.1_prot_CBW20599.1_4513	SL1344_4510	trpR	TrpR family transcriptional regulator, trp operon repressor	Other families	Helix-turn-helix	Prokaryotic type
K03721	lcl|FQ312003.1_prot_CBW17708.1_1612	SL1344_1613	tyrR	transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport	Others	Other transcription factors	Prokaryotic type
K03755	lcl|FQ312003.1_prot_CBW20318.1_4231	SL1344_4232	adiY	AraC family transcriptional regulator, transcriptional activator of adiA	AraC family	Helix-turn-helix	Prokaryotic type
K03764	lcl|FQ312003.1_prot_CBW20137.1_4050	SL1344_4048	metJ	MetJ family transcriptional regulator, methionine regulon repressor	Other families	Ribbon-helix-helix	Prokaryotic type
K03765	lcl|FQ312003.1_prot_CBW18620.1_2528	SL1344_2519	cadC	transcriptional activator of cad operon	Others	Other transcription factors	Prokaryotic type
K03973	lcl|FQ312003.1_prot_CBW17713.1_1617	SL1344_1618	pspC	phage shock protein C	Others	Other transcription factors	Prokaryotic type
K03974	lcl|FQ312003.1_prot_CBW17716.1_1620	SL1344_1621	pspF	psp operon transcriptional activator	Others	Other transcription factors	Prokaryotic type
K04033	lcl|FQ312003.1_prot_CBW18519.1_2426	SL1344_2417	eutR	AraC family transcriptional regulator, ethanolamine operon transcriptional activator	AraC family	Helix-turn-helix	Prokaryotic type
K04333	lcl|FQ312003.1_prot_CBW17175.1_1076	SL1344_1079	csgD	LuxR family transcriptional regulator, csgAB operon transcriptional regulatory protein	LuxR family	Helix-turn-helix	Prokaryotic type
K04761	lcl|FQ312003.1_prot_CBW20162.1_4075	SL1344_4074	oxyR	LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator	LysR family	Helix-turn-helix	Prokaryotic type
K05499	lcl|FQ312003.1_prot_CBW20132.1_4045	SL1344_4043	cytR	LacI family transcriptional regulator, repressor for deo operon, udp, cdd, tsx, nupC, and nupG	LacI family	Helix-turn-helix	Prokaryotic type
K05501	lcl|FQ312003.1_prot_CBW19792.1_3702	SL1344_3698	slmA, ttk	TetR/AcrR family transcriptional regulator	TetR/AcrR family	Helix-turn-helix	Prokaryotic type
K05527	lcl|FQ312003.1_prot_CBW16541.1_441	SL1344_0440	bolA	BolA family transcriptional regulator, general stress-responsive regulator	Others	Other transcription factors	Prokaryotic type
K05596	lcl|FQ312003.1_prot_CBW19139.1_3047	SL1344_3040	iciA	LysR family transcriptional regulator, chromosome initiation inhibitor	LysR family	Helix-turn-helix	Prokaryotic type
K05785	lcl|FQ312003.1_prot_CBW20022.1_3934	SL1344_3931	rfaH	transcriptional antiterminator RfaH	Others	Other transcription factors	Prokaryotic type
K05798	lcl|FQ312003.1_prot_CBW16218.1_118	SL1344_0115	leuO	LysR family transcriptional regulator, transcriptional activator for leuABCD operon	LysR family	Helix-turn-helix	Prokaryotic type
K05799	lcl|FQ312003.1_prot_CBW16254.1_154	SL1344_0151	pdhR	GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex	GntR family	Helix-turn-helix	Prokaryotic type
K05800	lcl|FQ312003.1_prot_CBW16554.1_454	SL1344_0453	ybaO	Lrp/AsnC family transcriptional regulator	Lrp/AsnC family	Helix-turn-helix	Prokaryotic type
K05804	lcl|FQ312003.1_prot_CBW20602.1_4516	SL1344_4513	rob	AraC family transcriptional regulator, mar-sox-rob regulon activator	AraC family	Helix-turn-helix	Prokaryotic type
K05836	lcl|FQ312003.1_prot_CBW16864.1_765	SL1344_0766	hutC	GntR family transcriptional regulator, histidine utilization repressor	GntR family	Helix-turn-helix	Prokaryotic type
K06075	lcl|FQ312003.1_prot_CBW17472.1_1374	SL1344_1376	slyA	MarR family transcriptional regulator, transcriptional regulator for hemolysin	MarR family	Helix-turn-helix	Prokaryotic type
K06140	lcl|FQ312003.1_prot_CBW16704.1_604	SL1344_0604	rnk	regulator of nucleoside diphosphate kinase	Others	Other transcription factors	Prokaryotic type
K06145	lcl|FQ312003.1_prot_CBW19603.1_3513	SL1344_3509	gntR	LacI family transcriptional regulator, gluconate utilization system Gnt-I transcriptional repressor	LacI family	Helix-turn-helix	Prokaryotic type
K06145	lcl|FQ312003.1_prot_CBW19754.1_3664	SL1344_3661	gntR	LacI family transcriptional regulator, gluconate utilization system Gnt-I transcriptional repressor	LacI family	Helix-turn-helix	Prokaryotic type
K06146	lcl|FQ312003.1_prot_CBW20499.1_4413	SL1344_4411	idnR, gntH	LacI family transcriptional regulator, gluconate utilization system Gnt-II transcriptional activator	LacI family	Helix-turn-helix	Prokaryotic type
K06204	lcl|FQ312003.1_prot_CBW16289.1_189	SL1344_0187	dksA	DnaK suppressor protein	Others	Other transcription factors	Prokaryotic type
K06211	lcl|FQ312003.1_prot_CBW20596.1_4510	SL1344_4507	nadR	HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]	Other families	Helix-turn-helix	Prokaryotic type
K06714	lcl|FQ312003.1_prot_CBW18432.1_2338	SL1344_2330	rocR	arginine utilization regulatory protein	Other families	Helix-turn-helix	Prokaryotic type
K07592	lcl|FQ312003.1_prot_CBW19315.1_3224	SL1344_3217	tdcA	LysR family transcriptional regulator, tdc operon transcriptional activator	LysR family	Helix-turn-helix	Prokaryotic type
K07722	lcl|FQ312003.1_prot_CBW19643.1_3553	SL1344_3549	nikR	CopG family transcriptional regulator, nickel-responsive regulator	CopG family	Ribbon-helix-helix	Prokaryotic type
K07724	lcl|FQ312003.1_prot_CBW18445.1_2351	SL1344_2343	ner, nlp, sfsB	Ner family transcriptional regulator	Other families	Helix-turn-helix	Prokaryotic type
K07724	lcl|FQ312003.1_prot_CBW18833.1_2741	SL1344_2733	ner, nlp, sfsB	Ner family transcriptional regulator	Other families	Helix-turn-helix	Prokaryotic type
K07724	lcl|FQ312003.1_prot_CBW19374.1_3284	SL1344_3278	ner, nlp, sfsB	Ner family transcriptional regulator	Other families	Helix-turn-helix	Prokaryotic type
K07726	lcl|FQ312003.1_prot_CBW19707.1_3617	SL1344_3614	K07726	putative transcriptional regulator	Other families	Helix-turn-helix	Prokaryotic type
K07726	lcl|FQ312003.1_prot_CBW19835.1_3746	SL1344_3744	K07726	putative transcriptional regulator	Other families	Helix-turn-helix	Prokaryotic type
K07726	lcl|FQ312003.1_prot_CBW20070.1_3983	SL1344_3980	K07726	putative transcriptional regulator	Other families	Helix-turn-helix	Prokaryotic type
K07735	lcl|FQ312003.1_prot_CBW19170.1_3078	SL1344_3071	algH	putative transcriptional regulator	Others	Other transcription factors	Prokaryotic type
K07738	lcl|FQ312003.1_prot_CBW16509.1_409	SL1344_0409	nrdR	transcriptional repressor NrdR	Others	Other transcription factors	Prokaryotic type
K07781	lcl|FQ312003.1_prot_CBW18006.1_1911	SL1344_1911	rcsA	LuxR family transcriptional regulator, capsular biosynthesis positive transcription factor	LuxR family	Helix-turn-helix	Prokaryotic type
K07782	lcl|FQ312003.1_prot_CBW17974.1_1879	SL1344_1879	sdiA	LuxR family transcriptional regulator, quorum-sensing system regulator SdiA	LuxR family	Helix-turn-helix	Prokaryotic type
K08088	lcl|FQ312003.1_prot_CBW16642.1_542	SL1344_0543	fimY	fimbrial regulator	Others	Other transcription factors	Prokaryotic type
K08277	lcl|FQ312003.1_prot_CBW16170.1_69	SL1344_0069	caiF	transcriptional activator CaiF	Others	Other transcription factors	Prokaryotic type
K09017	lcl|FQ312003.1_prot_CBW17156.1_1057	SL1344_1060	rutR	TetR/AcrR family transcriptional regulator	TetR/AcrR family	Helix-turn-helix	Prokaryotic type
K09823	lcl|FQ312003.1_prot_CBW20264.1_4177	SL1344_4177	zur	Fur family transcriptional regulator, zinc uptake regulator	Fur family	Helix-turn-helix	Prokaryotic type
K10778	lcl|FQ312003.1_prot_CBW18337.1_2243	SL1344_2235	ada	AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]	AraC family	Helix-turn-helix	Prokaryotic type
K10914	lcl|FQ312003.1_prot_CBW19528.1_3438	SL1344_3433	crp	CRP/FNR family transcriptional regulator, cyclic AMP receptor protein	CRP/FNR family	Helix-turn-helix	Prokaryotic type
K10972	lcl|FQ312003.1_prot_CBW16607.1_507	SL1344_0507	allS	LysR family transcriptional regulator, transcriptional activator of the allD operon	LysR family	Helix-turn-helix	Prokaryotic type
K10973	lcl|FQ312003.1_prot_CBW16609.1_509	SL1344_0509	allR	IclR family transcriptional regulator, negative regulator of allantoin and glyoxylate utilization operons	IclR family	Helix-turn-helix	Prokaryotic type
K11531	lcl|FQ312003.1_prot_CBW20111.1_4024	SL1344_4022	lsrR	lsr operon transcriptional repressor	Others	Other transcription factors	Prokaryotic type
K11534	lcl|FQ312003.1_prot_CBW16937.1_838	SL1344_0840	deoR	DeoR family transcriptional regulator, deoxyribose operon repressor	DeoR family	Helix-turn-helix	Prokaryotic type
K11534	lcl|FQ312003.1_prot_CBW19851.1_3762	SL1344_3760	deoR	DeoR family transcriptional regulator, deoxyribose operon repressor	DeoR family	Helix-turn-helix	Prokaryotic type
K11924	lcl|FQ312003.1_prot_CBW16908.1_809	SL1344_0810	mntR	DtxR family transcriptional regulator, manganese transport regulator	Other families	Helix-turn-helix	Prokaryotic type
K11925	lcl|FQ312003.1_prot_CBW16212.1_111	SL1344_0109	sgrR	SgrR family transcriptional regulator	Other families	Helix-turn-helix	Prokaryotic type
K11925	lcl|FQ312003.1_prot_CBW18843.1_2751	SL1344_2743	sgrR	SgrR family transcriptional regulator	Other families	Helix-turn-helix	Prokaryotic type
K11925	lcl|FQ312003.1_prot_CBW19918.1_3829	SL1344_3827	sgrR	SgrR family transcriptional regulator	Other families	Helix-turn-helix	Prokaryotic type
K11926	lcl|FQ312003.1_prot_CBW16416.1_316	SL1344_0315	crl	sigma factor-binding protein Crl	Others	Other transcription factors	Prokaryotic type
K12266	lcl|FQ312003.1_prot_CBW18917.1_2825	SL1344_2819	norR	anaerobic nitric oxide reductase transcription regulator	Other families	Helix-turn-helix	Prokaryotic type
K13631	lcl|FQ312003.1_prot_CBW20288.1_4201	SL1344_4201	soxS	AraC family transcriptional regulator, mar-sox-rob regulon activator	AraC family	Helix-turn-helix	Prokaryotic type
K13632	lcl|FQ312003.1_prot_CBW17544.1_1448	SL1344_1449	marA	AraC family transcriptional regulator, mar-sox-rob regulon activator	AraC family	Helix-turn-helix	Prokaryotic type
K13634	lcl|FQ312003.1_prot_CBW17740.1_1645	SL1344_1645	cysB	LysR family transcriptional regulator, cys regulon transcriptional activator	LysR family	Helix-turn-helix	Prokaryotic type
K13636	lcl|FQ312003.1_prot_CBW19858.1_3769	SL1344_3768	dsdC	LysR family transcriptional regulator, D-serine deaminase activator	LysR family	Helix-turn-helix	Prokaryotic type
K13637	lcl|FQ312003.1_prot_CBW19159.1_3067	SL1344_3060	uxuR	GntR family transcriptional regulator, uxu operon transcriptional repressor	GntR family	Helix-turn-helix	Prokaryotic type
K13637	lcl|FQ312003.1_prot_CBW20525.1_4439	SL1344_4437	uxuR	GntR family transcriptional regulator, uxu operon transcriptional repressor	GntR family	Helix-turn-helix	Prokaryotic type
K13638	lcl|FQ312003.1_prot_CBW19474.1_3384	SL1344_3379	zntR	MerR family transcriptional regulator, Zn(II)-responsive regulator of zntA	MerR family	Helix-turn-helix	Prokaryotic type
K13639	lcl|FQ312003.1_prot_CBW20289.1_4202	SL1344_4202	soxR	MerR family transcriptional regulator, redox-sensitive transcriptional activator SoxR	MerR family	Helix-turn-helix	Prokaryotic type
K13641	lcl|FQ312003.1_prot_CBW20210.1_4123	SL1344_4122	iclR	IclR family transcriptional regulator, acetate operon repressor	IclR family	Helix-turn-helix	Prokaryotic type
K13643	lcl|FQ312003.1_prot_CBW18607.1_2515	SL1344_2506	iscR	Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor	Rrf2 family	Helix-turn-helix	Prokaryotic type
K13652	lcl|FQ312003.1_prot_CBW19248.1_3156	SL1344_3149	K13652	AraC family transcriptional regulator	AraC family	Helix-turn-helix	Prokaryotic type
K13654	lcl|FQ312003.1_prot_CBW17613.1_1517	SL1344_1519	mcbR	GntR family transcriptional regulator, colanic acid and biofilm gene transcriptional regulator	GntR family	Helix-turn-helix	Prokaryotic type
K13771	lcl|FQ312003.1_prot_CBW20386.1_4300	SL1344_4300	nsrR	Rrf2 family transcriptional regulator, nitric oxide-sensitive transcriptional repressor	Rrf2 family	Helix-turn-helix	Prokaryotic type
K13794	lcl|FQ312003.1_prot_CBW16773.1_673	SL1344_0674	tcuR	LysR family transcriptional regulator, regulatory protein for tcuABC	LysR family	Helix-turn-helix	Prokaryotic type
K13821	lcl|FQ312003.1_prot_CBW17158.1_1059	SL1344_1062	putA	RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]	Other families	Ribbon-helix-helix	Prokaryotic type
K13928	lcl|FQ312003.1_prot_CBW19522.1_3432	SL1344_3427	mdcR	LysR family transcriptional regulator, malonate utilization transcriptional regulator	LysR family	Helix-turn-helix	Prokaryotic type
K14348	lcl|FQ312003.1_prot_CBW19751.1_3661	SL1344_3658	lldR	GntR family transcriptional regulator, L-lactate dehydrogenase operon regulator	GntR family	Helix-turn-helix	Prokaryotic type
K14414	lcl|FQ312003.1_prot_CBW19583.1_3493	SL1344_3488	rtcR	transcriptional regulatory protein RtcR	Others	Other transcription factors	Prokaryotic type
K15545	lcl|FQ312003.1_prot_CBW17513.1_1417	SL1344_1418	mlc	transcriptional regulator of PTS gene	Others	Other transcription factors	Prokaryotic type
K15735	lcl|FQ312003.1_prot_CBW18876.1_2784	SL1344_2778	csiR	GntR family transcriptional regulator, carbon starvation induced regulator	GntR family	Helix-turn-helix	Prokaryotic type
K15836	lcl|FQ312003.1_prot_CBW18937.1_2845	SL1344_2839	fhlA	formate hydrogenlyase transcriptional activator	Other families	Helix-turn-helix	Prokaryotic type
K15974	lcl|FQ312003.1_prot_CBW18896.1_2804	SL1344_2798	emrR, mprA	MarR family transcriptional regulator, negative regulator of the multidrug operon emrRAB	MarR family	Helix-turn-helix	Prokaryotic type
K16135	lcl|FQ312003.1_prot_CBW16428.1_328	SL1344_0328	dmlR	LysR family transcriptional regulator, transcriptional activator for dmlA	LysR family	Helix-turn-helix	Prokaryotic type
K16137	lcl|FQ312003.1_prot_CBW17465.1_1367	SL1344_1369	nemR	TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon	TetR/AcrR family	Helix-turn-helix	Prokaryotic type
K17473	lcl|FQ312003.1_prot_CBW19830.1_3741	SL1344_3738	dgaR	sigma-54 dependent transcriptional regulator, dga operon transcriptional activator	Other families	Helix-turn-helix	Prokaryotic type
K18140	lcl|FQ312003.1_prot_CBW19457.1_3367	SL1344_3362	envR, acrS	TetR/AcrR family transcriptional regulator, acrEF/envCD operon repressor	TetR/AcrR family	Helix-turn-helix	Prokaryotic type
K18325	lcl|FQ312003.1_prot_CBW16669.1_569	SL1344_0569	ramA	AraC family of transcriptional regulator, multidrug resistance transcriptional activator	AraC family	Helix-turn-helix	Prokaryotic type
K18831	lcl|FQ312003.1_prot_CBW20066.1_3979	SL1344_3976	higA	HTH-type transcriptional regulator / antitoxin HigA	Other families	Helix-turn-helix	Prokaryotic type
K18900	lcl|FQ312003.1_prot_CBW17702.1_1606	SL1344_1607	bpeT	LysR family transcriptional regulator, regulator for bpeEF and oprC	LysR family	Helix-turn-helix	Prokaryotic type
K18918	lcl|FQ312003.1_prot_CBW20467.1_4381	SL1344_4379	relB	RHH-type transcriptional regulator, rel operon repressor / antitoxin RelB	Other families	Ribbon-helix-helix	Prokaryotic type
K19333	lcl|FQ312003.1_prot_CBW17865.1_1770	SL1344_1771	kdgR	IclR family transcriptional regulator, KDG regulon repressor	IclR family	Helix-turn-helix	Prokaryotic type
K19335	lcl|FQ312003.1_prot_CBW17699.1_1603	SL1344_1604	bdcR	TetR/AcrR family transcriptional regulator, repressor for divergent bdcA	TetR/AcrR family	Helix-turn-helix	Prokaryotic type
K19337	lcl|FQ312003.1_prot_CBW17915.1_1820	SL1344_1821	hexR	RpiR family transcriptional regulator, carbohydrate utilization regulator	Other families	Helix-turn-helix	Prokaryotic type
K19505	lcl|FQ312003.1_prot_CBW20554.1_4468	SL1344_4465	gfrR	sigma-54 dependent transcriptional regulator, gfr operon transcriptional activator	Other families	Helix-turn-helix	Prokaryotic type
K19591	lcl|FQ312003.1_prot_CBW16592.1_492	SL1344_0492	cueR	MerR family transcriptional regulator, copper efflux regulator	MerR family	Helix-turn-helix	Prokaryotic type
K19592	lcl|FQ312003.1_prot_CBW16449.1_349	SL1344_0349	golS	MerR family transcriptional regulator, gold-responsive activator of gol and ges genes	MerR family	Helix-turn-helix	Prokaryotic type
K19776	lcl|FQ312003.1_prot_CBW19888.1_3799	SL1344_3797	dgoR	GntR family transcriptional regulator, galactonate operon transcriptional repressor	GntR family	Helix-turn-helix	Prokaryotic type
K21089	lcl|FQ312003.1_prot_CBW17420.1_1321	SL1344_1324	mlrA	MerR family transcriptional regulator, activator of the csg genes	MerR family	Helix-turn-helix	Prokaryotic type
K21089	lcl|FQ312003.1_prot_CBW18234.1_2140	SL1344_2138	mlrA	MerR family transcriptional regulator, activator of the csg genes	MerR family	Helix-turn-helix	Prokaryotic type
K21602	lcl|FQ312003.1_prot_CBW19725.1_3635	SL1344_3632	yiaJ	IclR family transcriptional regulator, carbohydrate utilization repressor	IclR family	Helix-turn-helix	Prokaryotic type
K21645	lcl|FQ312003.1_prot_CBW16839.2_740	SL1344_0741	hypT, qseD	LysR family transcriptional regulator, hypochlorite-specific transcription factor HypT	LysR family	Helix-turn-helix	Prokaryotic type
K21645	lcl|FQ312003.1_prot_CBW20530.1_4444	SL1344_4442	hypT, qseD	LysR family transcriptional regulator, hypochlorite-specific transcription factor HypT	LysR family	Helix-turn-helix	Prokaryotic type
K21698	lcl|FQ312003.1_prot_CBW19435.1_3345	SL1344_3339	aaeR	LysR family transcriptional regulator, transcriptional activator for aaeXAB operon	LysR family	Helix-turn-helix	Prokaryotic type
K21746	lcl|FQ312003.1_prot_CBW16651.1_551	SL1344_0551	rclR	AraC family transcriptional regulator, reactive chlorine species (RCS)-specific activator of rcl operon	AraC family	Helix-turn-helix	Prokaryotic type
K22041	lcl|FQ312003.1_prot_CBW17246.1_1147	SL1344_1150	comR	TetR/AcrR family transcriptional regulator, copper-responsive repressor	TetR/AcrR family	Helix-turn-helix	Prokaryotic type
K22104	lcl|FQ312003.1_prot_CBW19408.1_3318	SL1344_3312	nanR	GntR family transcriptional regulator, sialic acid-inducible nan operon repressor	GntR family	Helix-turn-helix	Prokaryotic type
K22105	lcl|FQ312003.1_prot_CBW20164.1_4077	SL1344_4076	fabR	TetR/AcrR family transcriptional regulator, fatty acid biosynthesis regulator	TetR/AcrR family	Helix-turn-helix	Prokaryotic type
